time,o,h,l,c,volume,complete
2006-01-02 00:00:00,1.1839,1.1839,1.1837,1.1838,17,True
2006-01-03 00:00:00,1.1814,1.1844,1.1814,1.1842,336,True
2006-01-04 00:00:00,1.2033,1.2038,1.2025,1.2031,286,True
2006-01-05 00:00:00,1.211,1.2122,1.211,1.2114,246,True
2006-01-06 00:00:00,1.2106,1.2114,1.2104,1.2114,222,True
2006-01-09 00:00:00,1.2141,1.2142,1.2131,1.2133,255,True
2006-01-10 00:00:00,1.2075,1.2076,1.2066,1.2069,289,True
2006-01-11 00:00:00,1.2061,1.2065,1.2053,1.2057,160,True
2006-01-12 00:00:00,1.2137,1.2139,1.2134,1.2137,165,True
2006-01-13 00:00:00,1.2044,1.2044,1.2034,1.2043,327,True
2006-01-16 00:00:00,1.2165,1.2169,1.2159,1.2162,265,True
2006-01-17 00:00:00,1.2118,1.2122,1.2108,1.211,230,True
2006-01-18 00:00:00,1.2107,1.211,1.2098,1.20996,233,True
2006-01-19 00:00:00,1.2106,1.2108,1.2089,1.2092,205,True
2006-01-20 00:00:00,1.209,1.2091,1.20826,1.2083,183,True
2006-01-23 00:00:00,1.2167,1.2177,1.2164,1.2169,343,True
2006-01-24 00:00:00,1.2304,1.2304,1.2287,1.2295,364,True
2006-01-25 00:00:00,1.2264,1.2267,1.2255,1.2267,260,True
2006-01-26 00:00:00,1.2244,1.2254,1.2242,1.2251,131,True
2006-01-27 00:00:00,1.2213,1.2223,1.2212,1.2217,196,True
2006-01-30 00:00:00,1.2105,1.2108,1.2096,1.2098,153,True
2006-01-31 00:00:00,1.2085,1.2085,1.2081,1.2085,69,True
2006-02-01 00:00:00,1.2149,1.2149,1.2142,1.2148,128,True
2006-02-02 00:00:00,1.2065,1.2079,1.2064,1.2078,185,True
2006-02-03 00:00:00,1.2083,1.2094,1.2082,1.2091,222,True
2006-02-06 00:00:00,1.2027,1.2044,1.2027,1.204,216,True
2006-02-07 00:00:00,1.1961,1.19666,1.19596,1.19646,163,True
2006-02-08 00:00:00,1.19906,1.19936,1.19806,1.19816,145,True
2006-02-09 00:00:00,1.1962,1.1965,1.196,1.19626,110,True
2006-02-10 00:00:00,1.1992,1.20136,1.19776,1.1984,338,True
2006-02-13 00:00:00,1.1899,1.1903,1.189,1.1896,250,True
2006-02-14 00:00:00,1.19108,1.19108,1.19008,1.19018,141,True
2006-02-15 00:00:00,1.19126,1.19266,1.19126,1.19246,151,True
2006-02-16 00:00:00,1.18856,1.18856,1.18726,1.18746,229,True
2006-02-17 00:00:00,1.19042,1.19072,1.18972,1.19036,130,True
2006-02-20 00:00:00,1.1944,1.1951,1.194,1.1942,184,True
2006-02-21 00:00:00,1.1933,1.1936,1.1931,1.1932,102,True
2006-02-22 00:00:00,1.19176,1.19226,1.1914,1.19166,122,True
2006-02-23 00:00:00,1.1915,1.1916,1.1902,1.1907,203,True
2006-02-24 00:00:00,1.1921,1.1933,1.1913,1.1926,295,True
2006-02-27 00:00:00,1.1838,1.1844,1.1832,1.1838,216,True
2006-02-28 00:00:00,1.18486,1.1849,1.18416,1.18416,165,True
2006-03-01 00:00:00,1.1931,1.1948,1.1928,1.1945,237,True
2006-03-02 00:00:00,1.19176,1.192,1.1915,1.1916,88,True
2006-03-03 00:00:00,1.20382,1.20402,1.20292,1.20322,209,True
2006-03-06 00:00:00,1.208,1.2092,1.2069,1.207,332,True
2006-03-07 00:00:00,1.2015,1.2022,1.20146,1.2016,173,True
2006-03-08 00:00:00,1.18886,1.18906,1.18796,1.18856,203,True
2006-03-09 00:00:00,1.19232,1.19348,1.19228,1.19338,195,True
2006-03-10 00:00:00,1.19026,1.19036,1.18966,1.18986,205,True
2006-03-13 00:00:00,1.1918,1.1929,1.1917,1.1927,162,True
2006-03-14 00:00:00,1.19646,1.1967,1.19626,1.19666,148,True
2006-03-15 00:00:00,1.2017,1.2022,1.2011,1.2021,148,True
2006-03-16 00:00:00,1.207,1.20724,1.20624,1.20634,173,True
2006-03-17 00:00:00,1.2174,1.2178,1.2173,1.2175,146,True
2006-03-20 00:00:00,1.2177,1.2182,1.21708,1.21725,215,True
2006-03-21 00:00:00,1.216,1.2161,1.21316,1.2138,267,True
2006-03-22 00:00:00,1.21068,1.21088,1.20976,1.21006,191,True
2006-03-23 00:00:00,1.2078,1.2082,1.2073,1.2075,179,True
2006-03-24 00:00:00,1.197,1.1972,1.1966,1.1968,144,True
2006-03-27 00:00:00,1.2035,1.2039,1.2029,1.2037,115,True
2006-03-28 00:00:00,1.2013,1.2024,1.20126,1.20176,145,True
2006-03-29 00:00:00,1.20066,1.20066,1.19996,1.20026,149,True
2006-03-30 00:00:00,1.20288,1.2031,1.20248,1.203,161,True
2006-03-31 00:00:00,1.21686,1.21686,1.2156,1.2157,227,True
2006-04-03 00:00:00,1.2104,1.2115,1.2104,1.2106,234,True
2006-04-04 00:00:00,1.2146,1.2147,1.213,1.21366,197,True
2006-04-05 00:00:00,1.22558,1.22572,1.22452,1.22552,208,True
2006-04-06 00:00:00,1.2283,1.2294,1.2279,1.2293,211,True
2006-04-07 00:00:00,1.2207,1.2209,1.2193,1.2199,252,True
2006-04-10 00:00:00,1.2102,1.21145,1.2102,1.21125,169,True
2006-04-11 00:00:00,1.21056,1.21056,1.20976,1.21026,144,True
2006-04-12 00:00:00,1.2156,1.2169,1.2154,1.2165,258,True
2006-04-13 00:00:00,1.21036,1.21086,1.20986,1.21036,171,True
2006-04-14 00:00:00,1.21095,1.21135,1.21065,1.21095,106,True
2006-04-17 00:00:00,1.21355,1.21695,1.21345,1.21685,321,True
2006-04-18 00:00:00,1.22596,1.22626,1.22556,1.22586,204,True
2006-04-19 00:00:00,1.23576,1.23636,1.23516,1.23526,185,True
2006-04-20 00:00:00,1.2375,1.2376,1.2352,1.2355,315,True
2006-04-21 00:00:00,1.2299,1.23136,1.2299,1.23136,228,True
2006-04-24 00:00:00,1.2371,1.2371,1.2358,1.2359,137,True
2006-04-25 00:00:00,1.2383,1.2383,1.2375,1.238,241,True
2006-04-26 00:00:00,1.24246,1.24286,1.24216,1.24236,149,True
2006-04-27 00:00:00,1.2451,1.24526,1.24496,1.2451,106,True
2006-04-28 00:00:00,1.254,1.2542,1.2531,1.2534,206,True
2006-05-01 00:00:00,1.26165,1.2622,1.2616,1.2618,131,True
2006-05-02 00:00:00,1.2569,1.2578,1.2565,1.257,169,True
2006-05-03 00:00:00,1.2609,1.2617,1.2607,1.2612,136,True
2006-05-04 00:00:00,1.2633,1.26365,1.26295,1.26345,128,True
2006-05-05 00:00:00,1.26976,1.2698,1.26926,1.2694,102,True
2006-05-08 00:00:00,1.2742,1.2746,1.2738,1.2743,165,True
2006-05-09 00:00:00,1.2701,1.2706,1.2689,1.2694,270,True
2006-05-10 00:00:00,1.27616,1.27616,1.27526,1.27576,152,True
2006-05-11 00:00:00,1.276,1.2768,1.2756,1.2757,234,True
2006-05-12 00:00:00,1.28488,1.2874,1.28488,1.28646,600,True
2006-05-15 00:00:00,1.29496,1.29496,1.2924,1.29253,427,True
2006-05-16 00:00:00,1.27924,1.28086,1.2792,1.28056,301,True
2006-05-17 00:00:00,1.28536,1.28552,1.28424,1.28462,371,True
2006-05-18 00:00:00,1.2743,1.27576,1.2741,1.27576,272,True
2006-05-19 00:00:00,1.2859,1.28642,1.28512,1.28522,284,True
2006-05-22 00:00:00,1.27622,1.27642,1.2743,1.27495,296,True
2006-05-23 00:00:00,1.28516,1.28556,1.2847,1.28524,226,True
2006-05-24 00:00:00,1.27916,1.28116,1.27896,1.27954,477,True
2006-05-25 00:00:00,1.27686,1.2776,1.2762,1.2766,237,True
2006-05-26 00:00:00,1.28016,1.28096,1.2797,1.28026,328,True
2006-05-27 00:00:00,1.27359,1.27359,1.27359,1.27359,1,True
2006-05-29 00:00:00,1.27485,1.27515,1.27325,1.2741,305,True
2006-05-30 00:00:00,1.27495,1.2758,1.27435,1.27565,248,True
2006-05-31 00:00:00,1.28568,1.28614,1.28538,1.28594,181,True
2006-06-01 00:00:00,1.28158,1.2816,1.2802,1.2803,270,True
2006-06-02 00:00:00,1.28196,1.28196,1.2809,1.28166,238,True
2006-06-05 00:00:00,1.29275,1.29365,1.29245,1.29365,234,True
2006-06-06 00:00:00,1.28956,1.29136,1.2895,1.29046,225,True
2006-06-07 00:00:00,1.2827,1.28374,1.28246,1.28314,256,True
2006-06-08 00:00:00,1.28016,1.2802,1.2795,1.28,199,True
2006-06-09 00:00:00,1.26436,1.26516,1.26412,1.26476,311,True
2006-06-12 00:00:00,1.26105,1.2618,1.26075,1.26125,205,True
2006-06-13 00:00:00,1.25794,1.25956,1.25774,1.25926,253,True
2006-06-14 00:00:00,1.25486,1.25516,1.25426,1.25436,212,True
2006-06-15 00:00:00,1.26072,1.26082,1.2599,1.26016,236,True
2006-06-16 00:00:00,1.26416,1.26436,1.26396,1.26436,168,True
2006-06-19 00:00:00,1.2638,1.2638,1.2629,1.26295,182,True
2006-06-20 00:00:00,1.2577,1.2577,1.2565,1.25666,270,True
2006-06-21 00:00:00,1.25982,1.25996,1.25926,1.25956,164,True
2006-06-22 00:00:00,1.26672,1.26682,1.26636,1.26646,158,True
2006-06-23 00:00:00,1.25806,1.25832,1.2578,1.258,158,True
