time,o,h,l,c,volume,complete
2006-01-01 10:00:00,1.185,1.185,1.1844,1.1844,3,True
2006-01-01 22:00:00,1.1845,1.18665,1.1821,1.18505,1205,True
2006-01-02 10:00:00,1.18495,1.18495,1.18015,1.1822,1849,True
2006-01-02 22:00:00,1.1822,1.19076,1.1812,1.18872,10968,True
2006-01-03 10:00:00,1.18872,1.203,1.18658,1.20178,26701,True
2006-01-03 22:00:00,1.20178,1.20958,1.2006,1.20642,13142,True
2006-01-04 10:00:00,1.20642,1.21438,1.20548,1.212,26441,True
2006-01-04 22:00:00,1.212,1.2122,1.20838,1.21002,12078,True
2006-01-05 10:00:00,1.21002,1.2116,1.20668,1.211,25631,True
2006-01-05 22:00:00,1.211,1.2126,1.20806,1.20898,9210,True
2006-01-06 10:00:00,1.20898,1.21808,1.20852,1.2152,21998,True
2006-01-06 22:00:00,1.2152,1.2152,1.2152,1.2152,1,True
2006-01-08 10:00:00,1.2146,1.2154,1.2143,1.2149,66,True
2006-01-08 22:00:00,1.2149,1.2155,1.20648,1.20862,10113,True
2006-01-09 10:00:00,1.20862,1.20942,1.20538,1.2087,22968,True
2006-01-09 22:00:00,1.2087,1.20898,1.20362,1.20792,11730,True
2006-01-10 10:00:00,1.20792,1.21088,1.20408,1.2063,22934,True
2006-01-10 22:00:00,1.2064,1.2075,1.20458,1.20518,10495,True
2006-01-11 10:00:00,1.20518,1.2144,1.20488,1.21278,24262,True
2006-01-11 22:00:00,1.21268,1.21632,1.21228,1.21478,10622,True
2006-01-12 10:00:00,1.21478,1.21548,1.20072,1.2035,24420,True
2006-01-12 22:00:00,1.2034,1.20832,1.2027,1.20718,11201,True
2006-01-13 10:00:00,1.20718,1.2146,1.20368,1.2143,22725,True
2006-01-15 10:00:00,1.213,1.2152,1.213,1.2148,366,True
2006-01-15 22:00:00,1.2149,1.2175,1.21345,1.21502,9793,True
2006-01-16 10:00:00,1.21502,1.21502,1.21072,1.21268,14456,True
2006-01-16 22:00:00,1.21278,1.21402,1.2078,1.21078,4619,True
2006-01-17 10:00:00,1.21068,1.21148,1.20518,1.2107,6054,True
