time,o,h,l,c,volume,complete
2006-01-01 00:00:00,1.1844,1.1867,1.1798,1.1822,0,True
2006-01-02 00:00:00,1.1822,1.203,1.1808,1.2012,0,True
2006-01-03 00:00:00,1.2012,1.2144,1.2003,1.2122,0,True
2006-01-04 00:00:00,1.2122,1.2122,1.2063,1.2106,0,True
2006-01-05 00:00:00,1.2106,1.218,1.2077,1.2146,0,True
2006-01-08 00:00:00,1.2146,1.2154,1.2049,1.2082,0,True
2006-01-09 00:00:00,1.2082,1.2109,1.2034,1.2061,0,True
2006-01-10 00:00:00,1.2061,1.2144,1.2042,1.2123,0,True
2006-01-11 00:00:00,1.2123,1.2163,1.2004,1.2034,0,True
2006-01-12 00:00:00,1.2034,1.2142,1.2024,1.2148,0,True
2006-01-15 00:00:00,1.2148,1.2174,1.2102,1.2117,0,True
2006-01-16 00:00:00,1.2117,1.2143,1.2048,1.2104,0,True
2006-01-17 00:00:00,1.2104,1.2159,1.2068,1.2115,0,True
2006-01-18 00:00:00,1.2115,1.2124,1.2052,1.2098,0,True
2006-01-19 00:00:00,1.2098,1.214,1.2039,1.2139,0,True
2006-01-22 00:00:00,1.2139,1.2311,1.2136,1.2307,0,True
2006-01-23 00:00:00,1.2307,1.2323,1.2256,1.2283,0,True
2006-01-24 00:00:00,1.2283,1.2323,1.2233,1.2242,0,True
2006-01-25 00:00:00,1.2242,1.227,1.2198,1.2204,0,True
2006-01-26 00:00:00,1.2204,1.2235,1.2084,1.2105,0,True
2006-01-29 00:00:00,1.2105,1.2115,1.206,1.2091,0,True
2006-01-30 00:00:00,1.2091,1.2189,1.2075,1.2132,0,True
2006-01-31 00:00:00,1.2152,1.2165,1.2047,1.2056,0,True
2006-02-01 00:00:00,1.2056,1.2108,1.203,1.209,0,True
2006-02-02 00:00:00,1.209,1.2112,1.1967,1.2035,0,True
2006-02-05 00:00:00,1.2035,1.2047,1.1943,1.1965,0,True
2006-02-06 00:00:00,1.1965,1.2015,1.1938,1.1977,0,True
2006-02-07 00:00:00,1.1977,1.1994,1.1921,1.1962,0,True
2006-02-08 00:00:00,1.1962,1.1995,1.1944,1.1979,0,True
2006-02-09 00:00:00,1.1979,1.2026,1.189,1.19,0,True
2006-02-12 00:00:00,1.19,1.1922,1.1875,1.1899,0,True
2006-02-13 00:00:00,1.1899,1.1924,1.1855,1.1914,0,True
2006-02-14 00:00:00,1.1914,1.1954,1.1869,1.189,0,True
2006-02-15 00:00:00,1.189,1.1902,1.1845,1.1903,0,True
2006-02-16 00:00:00,1.1903,1.1943,1.1855,1.193,0,True
