snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2006/01/01 23:00:00,2006-01-01T16:00:00,"{'bid': 11844.0, 'ask': 11844.0, 'lastTraded': None}","{'bid': 11822.0, 'ask': 11822.0, 'lastTraded': None}","{'bid': 11867.0, 'ask': 11867.0, 'lastTraded': None}","{'bid': 11798.0, 'ask': 11798.0, 'lastTraded': None}",0
2006/01/02 23:00:00,2006-01-02T16:00:00,"{'bid': 11822.0, 'ask': 11822.0, 'lastTraded': None}","{'bid': 12012.0, 'ask': 12012.0, 'lastTraded': None}","{'bid': 12030.0, 'ask': 12030.0, 'lastTraded': None}","{'bid': 11808.0, 'ask': 11808.0, 'lastTraded': None}",0
2006/01/03 23:00:00,2006-01-03T16:00:00,"{'bid': 12012.0, 'ask': 12012.0, 'lastTraded': None}","{'bid': 12122.0, 'ask': 12122.0, 'lastTraded': None}","{'bid': 12144.0, 'ask': 12144.0, 'lastTraded': None}","{'bid': 12003.0, 'ask': 12003.0, 'lastTraded': None}",0
2006/01/04 23:00:00,2006-01-04T16:00:00,"{'bid': 12122.0, 'ask': 12122.0, 'lastTraded': None}","{'bid': 12106.0, 'ask': 12106.0, 'lastTraded': None}","{'bid': 12122.0, 'ask': 12122.0, 'lastTraded': None}","{'bid': 12063.0, 'ask': 12063.0, 'lastTraded': None}",0
2006/01/05 23:00:00,2006-01-05T16:00:00,"{'bid': 12106.0, 'ask': 12106.0, 'lastTraded': None}","{'bid': 12146.0, 'ask': 12146.0, 'lastTraded': None}","{'bid': 12180.0, 'ask': 12180.0, 'lastTraded': None}","{'bid': 12077.0, 'ask': 12077.0, 'lastTraded': None}",0
2006/01/08 23:00:00,2006-01-08T16:00:00,"{'bid': 12146.0, 'ask': 12146.0, 'lastTraded': None}","{'bid': 12082.0, 'ask': 12082.0, 'lastTraded': None}","{'bid': 12154.0, 'ask': 12154.0, 'lastTraded': None}","{'bid': 12049.0, 'ask': 12049.0, 'lastTraded': None}",0
2006/01/09 23:00:00,2006-01-09T16:00:00,"{'bid': 12082.0, 'ask': 12082.0, 'lastTraded': None}","{'bid': 12061.0, 'ask': 12061.0, 'lastTraded': None}","{'bid': 12109.0, 'ask': 12109.0, 'lastTraded': None}","{'bid': 12034.0, 'ask': 12034.0, 'lastTraded': None}",0
2006/01/10 23:00:00,2006-01-10T16:00:00,"{'bid': 12061.0, 'ask': 12061.0, 'lastTraded': None}","{'bid': 12123.0, 'ask': 12123.0, 'lastTraded': None}","{'bid': 12144.0, 'ask': 12144.0, 'lastTraded': None}","{'bid': 12042.0, 'ask': 12042.0, 'lastTraded': None}",0
2006/01/11 23:00:00,2006-01-11T16:00:00,"{'bid': 12123.0, 'ask': 12123.0, 'lastTraded': None}","{'bid': 12034.0, 'ask': 12034.0, 'lastTraded': None}","{'bid': 12163.0, 'ask': 12163.0, 'lastTraded': None}","{'bid': 12004.0, 'ask': 12004.0, 'lastTraded': None}",0
2006/01/12 23:00:00,2006-01-12T16:00:00,"{'bid': 12034.0, 'ask': 12034.0, 'lastTraded': None}","{'bid': 12148.0, 'ask': 12148.0, 'lastTraded': None}","{'bid': 12142.0, 'ask': 12142.0, 'lastTraded': None}","{'bid': 12024.0, 'ask': 12024.0, 'lastTraded': None}",0
