time,o,h,l,c,volume,complete
2013-08-30 00:00:00,1.31961,1.322495,1.319395,1.32223,11462,True
2013-09-01 00:00:00,1.32195,1.32273,1.31838,1.319085,51606,True
2013-09-02 00:00:00,1.31907,1.31989,1.31386,1.31634,70874,True
2013-09-03 00:00:00,1.31635,1.32181,1.31569,1.321215,69999,True
2013-09-04 00:00:00,1.32122,1.32235,1.31106,1.31195,96374,True
2013-09-05 00:00:00,1.31196,1.31892,1.31048,1.31659,83310,True
2013-09-06 00:00:00,1.3166,1.318485,1.31606,1.31781,9531,True
2013-09-08 00:00:00,1.31677,1.326345,1.316025,1.32594,54967,True
2013-09-09 00:00:00,1.32593,1.3281,1.32304,1.32603,71207,True
2013-09-10 00:00:00,1.326025,1.33144,1.324375,1.33004,71579,True
2013-09-11 00:00:00,1.33001,1.33248,1.32557,1.33143,80697,True
2013-09-12 00:00:00,1.33142,1.332375,1.32538,1.32753,79588,True
2013-09-13 00:00:00,1.32754,1.331,1.32752,1.329415,9236,True
2013-09-15 00:00:00,1.3304,1.338585,1.3304,1.33489,62447,True
2013-09-16 00:00:00,1.3349,1.336985,1.332525,1.33557,67852,True
2013-09-17 00:00:00,1.33556,1.33641,1.33381,1.33499,56337,True
2013-09-18 00:00:00,1.33498,1.35686,1.33491,1.35263,156225,True
2013-09-19 00:00:00,1.35262,1.35488,1.34981,1.35229,81787,True
2013-09-20 00:00:00,1.35228,1.35373,1.351635,1.35246,13428,True
2013-09-22 00:00:00,1.355105,1.355355,1.34794,1.34924,68321,True
2013-09-23 00:00:00,1.34925,1.35189,1.34644,1.34885,66805,True
2013-09-24 00:00:00,1.34884,1.35376,1.34618,1.35354,67590,True
2013-09-25 00:00:00,1.35355,1.35356,1.347525,1.34841,67744,True
2013-09-26 00:00:00,1.3484,1.35645,1.347225,1.35367,72249,True
2013-09-27 00:00:00,1.35366,1.353695,1.35133,1.35228,10953,True
2013-09-29 00:00:00,1.348355,1.35563,1.34776,1.35341,65932,True
2013-09-30 00:00:00,1.3534,1.35881,1.3517,1.35341,90059,True
