snapshotTime,snapshotTimeUTC,openPrice,closePrice,highPrice,lowPrice,lastTradedVolume
2023/05/15 00:00:00,2023-05-14T16:00:00,"{'bid': 10860.9, 'ask': 10865.3, 'lastTraded': None}","{'bid': 10873.0, 'ask': 10873.6, 'lastTraded': None}","{'bid': 10890.4, 'ask': 10891.3, 'lastTraded': None}","{'bid': 10844.4, 'ask': 10847.0, 'lastTraded': None}",42625
2023/05/16 00:00:00,2023-05-15T16:00:00,"{'bid': 10872.8, 'ask': 10873.7, 'lastTraded': None}","{'bid': 10864.4, 'ask': 10865.0, 'lastTraded': None}","{'bid': 10904.3, 'ask': 10905.2, 'lastTraded': None}","{'bid': 10854.7, 'ask': 10855.3, 'lastTraded': None}",54742
2023/05/17 00:00:00,2023-05-16T16:00:00,"{'bid': 10864.7, 'ask': 10865.3, 'lastTraded': None}","{'bid': 10829.1, 'ask': 10829.7, 'lastTraded': None}","{'bid': 10873.3, 'ask': 10874.2, 'lastTraded': None}","{'bid': 10809.9, 'ask': 10810.6, 'lastTraded': None}",58584
2023/05/18 00:00:00,2023-05-17T16:00:00,"{'bid': 10828.9, 'ask': 10829.5, 'lastTraded': None}","{'bid': 10775.1, 'ask': 10775.7, 'lastTraded': None}","{'bid': 10848.9, 'ask': 10849.7, 'lastTraded': None}","{'bid': 10762.9, 'ask': 10763.5, 'lastTraded': None}",55682
2023/05/19 00:00:00,2023-05-18T16:00:00,"{'bid': 10775.0, 'ask': 10775.6, 'lastTraded': None}","{'bid': 10818.8, 'ask': 10819.4, 'lastTraded': None}","{'bid': 10826.1, 'ask': 10827.0, 'lastTraded': None}","{'bid': 10759.6, 'ask': 10760.5, 'lastTraded': None}",63012
2023/05/20 00:00:00,2023-05-19T16:00:00,"{'bid': 10818.6, 'ask': 10819.2, 'lastTraded': None}","{'bid': 10803.9, 'ask': 10809.0, 'lastTraded': None}","{'bid': 10828.5, 'ask': 10829.2, 'lastTraded': None}","{'bid': 10797.3, 'ask': 10798.1, 'lastTraded': None}",11921
2023/05/22 00:00:00,2023-05-21T16:00:00,"{'bid': 10810.6, 'ask': 10812.5, 'lastTraded': None}","{'bid': 10804.8, 'ask': 10805.7, 'lastTraded': None}","{'bid': 10831.0, 'ask': 10831.6, 'lastTraded': None}","{'bid': 10795.1, 'ask': 10796.0, 'lastTraded': None}",49341
2023/05/23 00:00:00,2023-05-22T16:00:00,"{'bid': 10804.7, 'ask': 10805.6, 'lastTraded': None}","{'bid': 10770.5, 'ask': 10771.1, 'lastTraded': None}","{'bid': 10821.4, 'ask': 10822.0, 'lastTraded': None}","{'bid': 10762.7, 'ask': 10763.3, 'lastTraded': None}",66551
2023/05/24 00:00:00,2023-05-23T16:00:00,"{'bid': 10770.4, 'ask': 10771.0, 'lastTraded': None}","{'bid': 10758.0, 'ask': 10758.6, 'lastTraded': None}","{'bid': 10801.0, 'ask': 10801.8, 'lastTraded': None}","{'bid': 10747.8, 'ask': 10748.7, 'lastTraded': None}",67343
2023/05/25 00:00:00,2023-05-24T16:00:00,"{'bid': 10758.2, 'ask': 10758.8, 'lastTraded': None}","{'bid': 10724.0, 'ask': 10724.6, 'lastTraded': None}","{'bid': 10765.6, 'ask': 10766.4, 'lastTraded': None}","{'bid': 10706.9, 'ask': 10707.8, 'lastTraded': None}",71090
